"Barcode","Product Name"
"8964000019023","Scotch Brite Foam Reg"
"8964000019061","SCOTCH BRITE NAIL SAVER"
"8964000019337","Scotch Brite Steel Spiral Small"
"8964000074008","Adams Cheddar Cheese 200g"
"8964000074473","Adams Mozzarella Cheese 200g"
"8964000074091","Adams Pizza Cheese 200g"
"2367342656431","Adore Color 43No"
"2367342656417","Adore Colour 41 No"
"2367326652589","Adore Fast & Easy Lotion"
"2367342656394","Adore Hair Dye 39 No"
"2367342656455","Adore Hair Dye 45 No"
"2367342656714","Adore Hair Dye 71No"
"2367342656776","Adore Hair Dye 77 No"
"2367342656837","Adore Hair Dye 83 No"
"2367347537735","Adore Hair Rem Lotion EP"
"2367376381002","Adore Petrolium Jelly 100g"
"2367326267875","Adore Petrolium Jelly 50g"
"2367752581507","Adore Petrolium Jelly Aloev 150g"
"2367384876156","Adore Petrolium Jelly VIT-E 150g"
"2367377257030","Adore Premium Hair Color 03 No"
"2367377257061","Adore Premium Hair Color 06 No"
"2367376278425","Adore Smart Pack 45 No"
"2367377353558","Petrolium Jelly Adore  L"
"3300","Topix Mix Nimko"
"8850297990025","Bread Crumbs 200g"
"010900100847","Diamond Foil 25 Sq"
"8964000380154","Food colour liq green"
"8964000379363","Food colour liq red"
"8964000379370","food colour liq yellow"
"8964000379073","Kewra Essence"
"8964000379196","Vanila Essence"
"2684526568459","Anvil Hair Colour Scht"
"054529508721","Ahmad Jam Apple 450g"
"671054529508974","Ahmad Jam Mixed Frt 435G"
"054529511486","Ahmed Chilli Sauce 300ml"
"054529502637","Ahmed Corn Flour 285g"
"054529508844","Ahmed Jam Mango 1.8kg Bkt"
"054529508998","Ahmed Jam Mango 450g"
"054529508813","Ahmed Jam Mix Fruit 1.8kg Bkt"
"054529508820","Ahmed Jam Orange 1.8kg Bkt"
"054529509438","Ahmed Mix Achar"
"054529511462","Ahmed Soya Sauce 300ml"
"054529507847","Ahmed Tomato Ketchup 1kg"
"054529507908","Ahmed Vinegar Syn 300ml"
"054529506123","Ahmed Vinegar Syn 800ml"
"3060","Kashish Powder Mehndi"
"3512","Kehkashan Black Hair"
"9694373251124","Kehkashan golden dark brown"
"3513","Kehkashan Kulfi Cone"
"3510","Kehkashan Parlour Cone"
"300515497716","Nadra Henna Powder"
"3061","Zamzam Cone Mehndi"
"3392","Al Karam Chaki Aata 10Kg"
"3393","Al Karam Chaki Aata 5Kg"
"554000005546","Rice Basm Kernal Alkaram 5Kg"
"9232194588175","AShifa Apple Jam 1Kg"
"9232152744801","AShifa Mango Jam 1Kg"
"9232194588168","AShifa Mix Fruit Jam 1Kg"
"899432000012","Dentonic Tooth Powder 100g"
"899432000111","Dentonic Tooth Powder 100g"
"899432000029","DENTONIC TOOTH POWDER 200G"
"1926629786110","Um ul hayat Water 6L"
"1110786926629","Umm ul Hayat 600ml"
"1110786299266","Umm ul Hayat Water 1.5L"
"8964001084792","Ambala Cake Rus Small"
"8964001084198","Ambala CakeRus 350gm"
"8964001084433","Ambala Cookies Assorted 240gm"
"8964001084969","Ambala Pheni"
"8964001084419","Ambala Soan Papdi 250g"
"717273600072","Apple Vinegar 473ml"
"8964000515044","Doctor Tooth Paste"
"8964000515020","Doctor Tooth Paste 70g B/P"
"8964000515242","Nexera Tooth Paste  70G"
"3530","Serne Paedifit 500ml"
"3293","Naaz Paan Masala Rs5"
"8966000028401","Prema Laban Drink Yogurt Sweet"
"8966000041585","Prema Laban Drinking Yogurt Salted"
"094922961518","Prema Natural Yogurt 400g"
"2120","ELFY"
"6291107670867","Fruton Soap Orange"
"736211022776","Grace Fruit Soap Orange"
"2121","Pencil Piano"
"8964000827482","Gai Narol Blak 2pcs"
"8964000100004","Gai Soap Special 4pcs"
"3572242274626","Bp Achari Macaroni 250g"
"3570010726438","BP Ballay Ballay Vermicelli 150G"
"3570011726437","BP Ballay Vermicelli 350g"
"1358946345969","BP Balti Macaroni"
"1358946343453","BP Bar B Que Macaroni 250G"
"1358946045302","BP Biryani Macaroni"
"3570064726439","BP Chaat Masala Rs30"
"3572247722504","BP Chicken Chowmein 250g"
"3575272462506","BP Chicken Lasagne 250G"
"3576677722509","BP Chicken Manchurian"
"1358946341176","BP Chicken Noodle Soup 110g"
"1358946341442","BP Chilli Sauce 300ml"
"1358946343118","BP Chilli Sauce 750ml"
"1358946340148","BP Color Flavored Vermicelli 200G"
"1358946340070","BP Color Flavored Vermicelli 400G"
"3570127726437","BP Cut Vermicelli 400G"
"1358946338404","BP Elbow Macaroni 400G"
"1358946343286","BP Fajita Spaghetti 250g"
"3570092726432","BP Hara Masala Spaghetti"
"1358946343354","BP Hot n Sour Chinese Noodles 250g"
"3575253739467","Bp Jalfrezi Macaroni 250g"
"1358946338268","BP Lasagne 400G"
"1358946338336","BP Long Macaroni 450G"
"1358946338572","BP Macaroni Big Elbow 400g"
"1358946339258","BP Macaroni Panee pasta 400G"
"1358946339012","BP Macaroni Shell 400g"
"1358946338886","BP Macaroni Spiral 400g"
"1358946338992","BP Macaroni Twisted 400g"
"3570093726431","BP Macroni Bihari Tikka"
"3563874554408","BP Macroni Fusilli 400g"
"1358946339180","BP Macroni Penne 400g"
"3570094726430","Bp Malai Tikka Macaroni 250g"
"3570095726439","BP Qeema Macaroni 250g"
"1358946343798","BP Seven Spice Macaroni  250g"
"3577427445563","Bp Shashlik Macaroni 250g"
"1358946341756","BP Soy Sauce 300ml"
"1358946343040","BP Soy Sauce 750ml"
"1358946337964","BP Spaghetti 450G"
"1358946343668","BP Tikka Macaroni 250g"
"3570003726438","BP Vermicelli 100G"
"3570004726437","BP Vermicelli 150G"
"3570005726436","BP Vermicelli 200G"
"1358946342050","BP Vinegar Syn 300ml"
"1358946342296","BP Vinegar Syn 750ml"
"1358946341183","Hot&Sour Noodle Soup 110g"
"1358946350352","Jaam E Mashriq 800ml Save 20"
"2383","Deer Tikon 12 Colour Pencils"
"2360","Bal Pen Deer"
"2358","Bal Pen Jel Flow Piano"
"2357","Bal Pen Oria Picaso"
"2359","Bal Pen Piano Yellow"
"2355","Ball Pen Dollar Note"
"2356","Ball Pen Picaso Grip"
"2381","Colour Pencils 12pc"
"2382","Colour Pencils 6pc"
"2374","Correction Pen"
"2366","Crayons Colour Pencil 12pcs"
"2291","Dollar Pointer Rs15"
"2263","Eraser School"
"2376","Glue Stick"
"2375","Highlighter"
"2378","Ink 20ml"
"2377","Ink 30ml"
"2369","Ink Pen"
"2386","Ink Remover"
"2371","Ink Tube"
"2361","Marker Black Fibertip"
"2362","Marker Blue Fibertip"
"2368","Marker Colour Set"
"2363","Marker Green Fibertip"
"2364","Marker Red Fibertip"
"2373","Marker White Board"
"2289","My Pencil Rs10"
"2294","Pen Ball Point Rs 20"
"2292","Pen Ball Point Rs10"
"2293","Pen Ball Point Rs15"
"2370","Pen ink Tube"
"2387","Pencil Plastic"
"2372","Permanent Marker"
"2384","Scale 12inch"
"2385","Scale 6inch"
"2290","Sharpner Rs 5"
"2380","Staples Pen 10no"
"2379","Staples Pen 24x6"
"2365","Urdu Marker Small"
"8964002487295","Bisconi Chocolate Chip Rs15"
"870572008007","Bisconi Chocolatto R10"
"8964002487400","Bisconi Crux Crackers R10"
"8964002487417","Bisconi Crux Crackers R20"
"8964002487530","Bisconi Rite Cho/Cream R10"
"870572009493","Biscono Chocolate Chip Rs10"
"870572007871","Chocolate Chip Bis Rs20"
"188552000157","Chocolate Chip Biscuit"
"8964002487257","Chocolate Chip Loaded"
"870572008083","Chocolatto Cookies R20"
"870572002548","Cocomo Choclate R10"
"188552000218","Cocomo Chocolate Rs5"
"8964001434566","Cocomo Milk Rs10"
"870572001954","Cocomo Stand Up Pouch"
"8964001071501","Cocomo Strawbery Rs10"
"8964001434467","Craving Coconut  Cookies R10"
"870572004672","Novita Chocolate wafer Rs20"
"870572009288","Novita Chocolate Wafers R10"
"870572009264","Novita Orange Wafer"
"870572009615","Rite Biscuit Rs 10"
"8964002487318","Rite Chocolate Vanila Rs20"
"8964002487752","Rollies Swiss Cake Rs20"
"4878611125100","Black Rose Brown Black"
"4878611125094","Black Rose Color Supreme 1 No"
"4878611125117","Black Rose Color Supreme 3 No"
"4878611125124","Black Rose Color Supreme 4 No"
"4878611125131","Black Rose Color Supreme 5 No"
"4878611125186","Black Rose Dark Mahogany"
"8210987651474","Black RoseColor Safe 43 No"
"8964001048350","BonaPapa Diapers 3 Med 88pcs"
"8964001048367","Bonapapa Diapers Mega 4 Large 80p"
"8964001050636","Mimi Papa Adult M 8pc"
"8964001050650","Mimi Papa Adult XL 8pc"
"8964001050643","Mimi Papa Large 8pc"
"1652","Colic Drops"
"1651","Colic Syrup"
"5060061733182","Bunnys Daal Sev"
"5060061733212","Bunnys Nimboo Daal"
"5060061733205","Bunnys Spicy Mix"
"8964000043660","Butterfly Breathables 16"
"8964000043455","Butterfly Long Pad XXL 16p"
"8964000043479","Butterfly Long Pads L-18"
"8964000043189","Butterfly Long XXL 8p"
"8964000043448","Butterfly Wider Pads XXL 10p"
"8964000043899","Mother Comforts Pad L 16p"
"8964000730027","Trust Sanitary Thick Pads 10p"
"2959","C&F Aloo Chana Samosa"
"2981","C&F Boti Kabab Beef"
"6002508000487","C&F Kofta Beef 12pcs"
"3241","C&F Qeema Samosa & Roll"
"3435","C&F Roll Patti"
"7123456789015","C&F Samosa & Roll Aloo"
"3605532058986","C&F Samosa & Roll Chicken"
"2039","C&F Samosa & Roll Sabzi"
"3436","C&F Samosa Patti"
"1234567899992","C&F Shami Beef 12P"
